Entry_Korfali_2010,Gene_Name
Q9UH99,SUN2
P42166,TMPO
Q14739,LBR
Q8TEM1,NUP210
Q9BTV4,TMEM43
Q5JTV8,TOR1AIP1
P50402,EMD
Q8IXM6,NRM
Q8WXH0,SYNE2
Q8NF91,SYNE1
Q9Y2U8,LEMD3
O94901,SUN1
A8CG34,POM121C
Q86WV6,STING1
Q63HN8,RNF213
Q9Y394,DHRS7
Q8NC56,LEMD2
Q6ZMZ3,SYNE3
Q9NXE4,SMPD4
Q9H0A0,NAT10
Q969V3,NCLN
Q8N163,CCAR2
Q9BVI4,NOC4L
Q5VTL8,PRPF38B
Q8N201,INTS1
Q969X5,ERGIC1
Q92604,LPGAT1
Q96SK2,TMEM209
P49756,RBM25
Q9NUU6,OTULINL
Q8NBX0,SCCPDH
O75340,PDCD6
Q9BTX1,NDC1
Q05519,SRSF11
Q5SY16,NOL9
Q9UKR5,ERG28
Q5SNT2,TMEM201
O94905,ERLIN2
O95476,CTDNEP1
Q9Y3T9,NOC2L
Q3LXA3,TKFC
Q9NQG5,RPRD1B
Q15061,WDR43
A0AV96,RBM47
Q14146,URB2
Q7LBC6,KDM3B
Q9C0J8,WDR33
Q9P0S9,TMEM14C
O76062,TM7SF2
Q8IWA0,WDR75
Q8NF64,ZMIZ2
Q8NFQ8,TOR1AIP2
Q9HDC9,APMAP
Q6PIU2,NCEH1
A0FGR8,ESYT2
P46977,STT3A
Q9BVC6,TMEM109
Q96JJ7,TMX3
Q9H8H3,METTL7A
Q9Y228,TRAF3IP3
Q07065,CKAP4
Q9BY50,SEC11C
Q96F15,GIMAP5
Q9BQA9,CYBC1
Q9H1E5,TMX4
Q8N6S5,ARL6IP6
Q9H330,TMEM245
P48651,PTDSS1
Q96D96,HVCN1
Q9C0E8,LNPK
Q9HBL7,PLGRKT
Q8NF37,LPCAT1
Q6P1A2,LPCAT3
Q8TEB9,RHBDD1
Q8N4L2,PIP4P2
Q92520,FAM3C
Q8TDW0,LRRC8C
Q8N511,TMEM199
Q9BX59,TAPBPL
Q9GZT6,CCDC90B
Q6NXT6,TAPT1
Q9H0U3,MAGT1
Q12912,IRAG2
Q7L5N7,LPCAT2
Q96BY9,SARAF
P43308,SSR2
Q8N755,SLC66A3
Q04941,PLP2
Q9NX47,MARCHF5
Q9C002,NMES1
Q9H0R3,TMEM222
Q96ER9,CCDC51
Q9HC07,TMEM165
P11836,MS4A1
Q5VWC8,HACD4
Q9H920,RNF121
Q96MH6,TMEM68
Q8N6M3,FITM2
Q96ND0,FAM210A
Q6UWD8,C16orf54
Q9NWW5,CLN6
Q96A26,FAM162A
A5PLL7,TMEM189
Q8WVC6,DCAKD
Q8TB36,GDAP1
Q9BZW5,TM6SF1
O94886,TMEM63A
Q8WXF7,ATL1
Q7Z7N9,TMEM179B
Q8IY95,TMEM192
Q8NC44,RETREG2
O14524,NEMP1
Q9NX78,TMEM260
Q86UV5,USP48
Q8IUH4,ZDHHC13
Q4KMQ2,ANO6
Q5W0Z9,ZDHHC20
Q86XL3,ANKLE2
Q9Y2W6,TDRKH
Q53EP0,FNDC3B
Q14667,BLTP2
Q9H4I9,SMDT1
Q9NX00,TMEM160
Q5TGZ0,MICOS10
Q9H061,TMEM126A
Q9Y2R0,COA3
Q9BUB7,TMEM70
Q96HV5,TMEM41A
Q9BV81,EMC6
Q9NPB0,SAYSD1
Q8WUY8,NAT14
Q86V85,GPR180
Q8N386,LRRC25
Q5TGY1,TMCO4
Q9NX61,TMEM161A
Q96AA3,RFT1
