Uniprot_ID,Gene_Name
Q92604,LPGAT1
Q9Y3T9,NOC2L
Q8NBX0,SCCPDH
A0A384NPM7,SCCPDH
Q5VTL8,PRPF38B
Q9BTX1,NDC1
Q8NFQ8,TOR1AIP2
Q9NXE4,SMPD4
A0AV96,RBM47
Q7LBC6,KDM3B
Q9NUU6,OTULINL
Q96SK2,TMEM209
Q8NBV4,PLPP7
Q8N9R8,SCAI
Q3LXA3,TKFC
Q8N4F4,SLC22A24
Q9NVM9,INTS13
Q9UKR5,ERG28
Q6FII3,C14orf1
O95476,CTDNEP1
Q96P16,RPRD1A
Q9NQG5,RPRD1B
Q9H0A0,Nat10
O75340,Alg2
Q6P2H8,Tmem53
Q5SY16,Nol9
Q9BVI4,Noc4l
O75425,Mospd3
Q9H936,Slc25a22
O94905,Erlin2
P49756,Rbm25
Q6ZMZ3,Syne3
Q9P0S9,Tmem14c
Q6ZMJ2,Scara5
Q8N163,Ccar2
Q6NW34,Nepro
Q969X5,Ergic1
Q8NC56,Lemd2
Q5GFL6,Vwa2
